CPT_HCPCS,MOD,DESCRIPTION,PHYSICIAN_FEE_NORTH,PHYSICIAN_FEE_SOUTH,COL6,ASC_FEE_NORTH,ASC_FEE_SOUTH,PAYMENT_INDICATOR
23406.0,,TX SHO AREA MLT TDN THRU SM INC,1228.87,1180.78,,4301.4,3959.25,
23410.0,,"OPEN REPAIR OF ROTATOR CUFF, RECENT",3500.51,3361.17,,6312.78,5810.61,
23412.0,,"OPEN REPAIR OF ROTATOR CUFF, OLD",3640.2,3495.88,,6312.78,5810.61,
23415.0,,CORACOACROMIAL LIGM RLS +-ACROMP,1096.46,1051.7,,6312.78,5810.61,
23420.0,,"RECONSTRUCTION ROTATOR CUFF, OLD",4128.82,3965.45,,6312.78,5810.61,
23430.0,,TENODIS LONG TDN BICEPS,1169.96,1123.11,,6312.78,5810.61,
23440.0,,RESCJ/TRNSPLJ LONG TDN BICEPS,1192.02,1145.18,,6312.78,5810.61,
23470.0,,RECONSTRUCT SHOULDER JOINT,5149.21,4954.04,,,,
23472.0,,RECONSTRUCT SHOULDER JOINT,6369.05,6131.8,,,,
23480.0,,REVISE COLLAR BONE,3481.15,3344.49,,6312.78,5810.61,
23485.0,,REVISE COLLAR BONE,4080.99,3923.94,,11871.09,10926.78,
23500.0, ,TREAT CLAVICLE FX,517.1,320.37,,210.6,193.83,
23505.0, ,TREAT CLAVICLE FX,836.78,519.25,,2779.53,2558.43,
23515.0,,TREAT CLAVICLE FX,2182.75,2094.37,,8925.39,8215.41,
23520.0,,TREAT CLAVICLE DISLOCATION,543.64,518.1,,734.37,675.96,
23525.0,,TREAT CLAVICLE DISLOCATION,889.99,848.39,,734.37,675.96,
23530.0,,TREAT CLAVICLE DISLOCATION,1683.11,1615.14,,6420.9,5910.15,
23540.0,,TREAT CLAVICLE DISLOCATION,526.02,501.82,,210.6,193.83,
23545.0,,TREAT CLAVICLE DISLOCATION,963.58,919.0,,734.37,675.96,
23550.0,,TREAT CLAVICLE DISLOCATION,1729.78,1659.14,,6420.9,5910.15,
23552.0,,TREAT CLAVICLE DISLOCATION,1992.63,1911.66,,6420.9,5910.15,
23570.0,,TREAT SHOULDER BLADE FX,550.0,524.31,,210.6,193.83,
23600.0, ,TREAT HUMERUS FX,774.56,479.33,,210.6,193.83,
23605.0, ,TREAT HUMERUS FX,1118.44,693.94,,2779.53,2558.43,
23615.0,,TREAT HUMERUS FX,3210.58,1336.23,,8925.39,8215.41,
23616.0,,TREAT HUMERUS FX,4569.61,1904.53,,8925.39,8215.41,
23620.0,,TREAT HUMERUS FX,640.51,609.71,,210.6,193.83,
23625.0,,TREAT HUMERUS FX,910.15,868.61,,2779.53,2558.43,
23630.0,,TREAT HUMERUS FX,2340.39,2246.76,,8925.39,8215.41,
23650.0, ,TREAT SHOULDER DISLOCATION,713.19,443.19,,210.6,193.83,
23655.0, ,TREAT SHOULDER DISLOCATION,941.0,585.27,,2074.56,1909.53,
23700.0,,FIXATE SHOULDER,470.07,338.09,,2074.56,1909.53,
24220.0,,INJECTION FOR ELBOW X-RAY,265.46,251.25,,,,"X, N1"
24300.0,,MANIPULATE ELBOW W/ANESTH,640.74,610.08,,2074.56,1909.53,
24305.0,,ARM TENDON LENGTHENING,912.18,874.28,,4301.4,3959.25,
24340.0,,REPAIR BICEPS TENDON,2601.25,2494.51,,6312.78,5810.61,
24341.0,,REPAIR ARM TENDON/MUSCLE,3143.66,3012.32,,6312.78,5810.61,
24342.0,,REPAIR RUPTURED TENDON,3306.76,3175.53,,6312.78,5810.61,
24343.0,,REPAIR ELBOW LAT LIGAMENT W/TISS,2987.14,2862.45,,4301.4,3959.25,
24500.0,,TREAT HUMERUS FX,549.29,522.97,,210.6,193.83,
24505.0,,TREAT HUMERUS FX,780.56,744.97,,210.6,193.83,
24515.0,,TREAT HUMERUS FX,1381.32,1326.32,,8925.39,8215.41,
24516.0,,TREAT HUMERUS FX,1358.43,1305.28,,8925.39,8215.41,
24530.0,,TREAT HUMERUS FX,588.23,560.15,,210.6,193.83,
24535.0,,TREAT HUMERUS FX,965.43,922.74,,734.37,675.96,
24545.0,,TREAT HUMERUS FX,1456.68,1399.91,,8925.39,8215.41,
24546.0,,TREAT HUMERUS FX,1648.1,1583.95,,8925.39,8215.41,
24560.0,,TREAT HUMERUS FX,494.2,470.24,,210.6,193.83,
24565.0,,TREAT HUMERUS FX,817.85,781.01,,210.6,193.83,
24575.0,,TREAT HUMERUS FX,1155.33,1108.02,,8925.39,8215.41,
24576.0,,TREAT HUMERUS FX,524.86,499.14,,210.6,193.83,
24577.0,,TREAT HUMERUS FX,846.15,808.13,,210.6,193.83,
24579.0,,TREAT HUMERUS FX,1314.5,1261.84,,8925.39,8215.41,
25000.0,,INCISE TENDON SHEATH,547.09,521.24,,3064.83,2821.05,
25001.0,,INCISE FLEXOR CARPI RADIALIS,536.36,511.94,,3064.83,2821.05,
25020.0,,DECOMPRESS FOREARM 1 SPACE,1767.91,1684.75,,4301.4,3959.25,
25023.0,,DECOMPRESS FOREARM 1 SPACE,3363.81,3221.26,,4301.4,3959.25,
25024.0,,DECOMPRESS FOREARM 2 SPACES,2353.42,2260.29,,4301.4,3959.25,
25025.0,,DECOMPRESS FOREARM 2 SPACES,3669.1,3530.71,,4301.4,3959.25,
25118.0,,EXCISE WRIST TENDON SHEATH,607.03,580.07,,4301.4,3959.25,
25215.0,,REMOVE WRIST BONES,1898.51,1818.66,,4301.4,3959.25,
25246.0,,INJECTION FOR WRIST X-RAY,268.94,254.91,,,,"X, N1"
25259.0,,MANIPULATE WRIST W/ANESTH,644.82,613.89,,2779.53,2558.43,
25260.0,,REPAIR FOREARM TENDON/MUSCLE,2008.73,1921.52,,4301.4,3959.25,
25263.0,,REPAIR FOREARM TENDON/MUSCLE,1999.71,1913.76,,4301.4,3959.25,
25265.0,,REPAIR FOREARM TENDON/MUSCLE,2368.51,2270.1,,4301.4,3959.25,
25270.0,,REPAIR FOREARM TENDON/MUSCLE,1592.68,1522.5,,4301.4,3959.25,
25272.0,,REPAIR FOREARM TENDON/MUSCLE,1784.09,1706.99,,4301.4,3959.25,
25274.0,,REPAIR FOREARM TENDON/MUSCLE,2130.04,2040.87,,4301.4,3959.25,
25295.0,,RELEASE WRIST/FOREARM TENDON,876.95,838.58,,3064.83,2821.05,
25500.0,,TREAT FX RADIUS,413.29,393.45,,210.6,193.83,
25505.0,,TREAT FX RADIUS,781.41,745.83,,734.37,675.96,
25515.0,,TREAT FX RADIUS,1050.48,1007.25,,6420.9,5910.15,
25525.0,,TREAT FX RADIUS,1246.06,1195.16,,6420.9,5910.15,
25526.0,,TREAT FX RADIUS,1533.29,1471.52,,6420.9,5910.15,
25530.0,,TREAT FX ULNA,402.85,382.7,,210.6,193.83,
25535.0,,TREAT FX ULNA,760.01,725.62,,210.6,193.83,
25545.0,,TREAT FX ULNA,981.64,940.37,,6420.9,5910.15,
25560.0,,TREAT FX RADIUS & ULNA,808.02,769.13,,210.6,193.83,
25565.0,,TREAT FX RADIUS & ULNA,1566.66,1496.29,,734.37,675.96,
25574.0,,TREAT FX RADIUS & ULNA,2025.4,1942.13,,8925.39,8215.41,
25575.0,,TREAT FX RADIUS/ULNA,2717.76,2608.67,,8925.39,8215.41,
25600.0,,TREAT FX RADIUS/ULNA,869.76,827.89,,210.6,193.83,
25605.0,,TREAT FX RADIUS/ULNA,1865.53,1783.62,,734.37,675.96,
25606.0,,TREAT FX DISTAL RADIAL,2018.97,1933.22,,3542.43,3260.64,
25607.0,,TREAT FX RADIAL EXTRA-ARTICULAR,2204.51,2113.59,,8925.39,8215.41,
25608.0,,TREAT FX RADIAL INTRA-ARTICULAR,2472.05,2371.92,,8925.39,8215.41,
25609.0,,TREAT FX RADIAL 3+ FRAG,3148.22,3022.4,,8925.39,8215.41,
25622.0,,TREAT WRIST BONE FX,900.97,857.05,,210.6,193.83,
25624.0,,TREAT WRIST BONE FX,1384.38,1319.72,,734.37,675.96,
25628.0,,TREAT WRIST BONE FX,2177.02,2087.9,,6420.9,5910.15,
25630.0,,TREAT WRIST BONE FX,909.36,866.26,,210.6,193.83,
25635.0,,TREAT WRIST BONE FX,1342.79,1280.29,,210.6,193.83,
25645.0,,TREAT WRIST BONE FX,1718.8,1648.07,,6420.9,5910.15,
25650.0,,TREAT WRIST BONE FX,953.03,908.21,,210.6,193.83,
25652.0,,TREAT FX ULNAR STYLOID,1879.79,1801.28,,6420.9,5910.15,
25670.0,,TREAT FX ULNAR STYLOID,1831.97,1757.0,,3542.43,3260.64,
25671.0,,TREAT FX ULNAR STYLOID,1598.39,1529.9,,3542.43,3260.64,
25676.0,,TREAT WRIST DISLOCATION,1911.46,1832.38,,3542.43,3260.64,
25680.0,,TREAT WRIST FX,1383.37,1326.99,,210.6,193.83,
25685.0,,TREAT WRIST FX,2218.61,2130.23,,3542.43,3260.64,
26055.0,,INCISE FINGER TENDON SHEATH,910.15,858.58,,2289.75,2107.62,
26116.0,,EXCISE HAND TUMOR DEEP < 1.5 CM,1590.71,1523.59,,2411.7,2219.85,
26140.0,,"REVISE FINGER JOINT, EACH",1527.77,1462.59,,2289.75,2107.62,
26145.0,,TENDON EXCISE PALM/FINGER,2479.64,2374.52,,2289.75,2107.62,
26340.0,,MANIPULATE FINGER W/ANESTH,521.42,495.05,,734.37,675.96,
26410.0,,REPAIR HAND TENDON,1739.49,1650.91,,2289.75,2107.62,
26418.0,,REPAIR FINGER TENDON,2125.52,2014.58,,2289.75,2107.62,
26445.0,,RELEASE HAND/FINGER TENDON,1786.6,1692.75,,2289.75,2107.62,
26480.0,,TRANSPLANT HAND TENDON,2307.21,2192.78,,3971.19,3655.32,
26525.0,,RELEASE FINGER CONTRACTURE,2010.2,1907.42,,2289.75,2107.62,
26540.0,,REPAIR HAND JOINT,2010.67,1914.55,,2289.75,2107.62,
26600.0,,TREAT METACARPAL FX,447.47,425.44,,210.6,193.83,
26605.0,,TREAT METACARPAL FX,499.07,474.91,,210.6,193.83,
26607.0,,TREAT METACARPAL FX,702.97,672.84,,2779.53,2558.43,
26608.0,,TREAT METACARPAL FX,1155.32,1104.12,,3542.43,3260.64,
26615.0,,TREAT METACARPAL FX,1371.83,1313.19,,6420.9,5910.15,
26720.0,,"TREAT FINGER FX, EACH",303.29,288.37,,210.6,193.83,
26725.0,,"TREAT FINGER FX, EACH",526.64,502.01,,210.6,193.83,
26727.0,,"TREAT FINGER FX, EACH",739.96,706.95,,3542.43,3260.64,
26735.0,,"TREAT FINGER FX, EACH",925.25,886.02,,3542.43,3260.64,
26740.0,,"TREAT FINGER FX, EACH",352.67,335.26,,210.6,193.83,
26742.0,,"TREAT FINGER FX, EACH",571.25,545.14,,210.6,193.83,
26746.0,,"TREAT FINGER FX, EACH",1143.63,1096.98,,3542.43,3260.64,
26750.0,,"TREAT FINGER FX, EACH",280.86,267.55,,210.6,193.83,
26755.0,,"TREAT FINGER FX, EACH",484.57,461.98,,210.6,193.83,
27036.0,,EXCISE HIP JOINT/MUSCLE,3050.71,2932.1,,,,
27093.0,,INJECTION FOR HIP X-RAY,313.73,296.32,,,,"X, N1"
27095.0,,INJECTION FOR HIP X-RAY,384.77,363.23,,,,"X, N1"
27096.0,,INJECT SACROILIAC JOINT,586.47,554.47,,1012.32,931.8,
27130.0,,TOTAL HIP ARTHROPLASTY,5258.22,5062.44,,,,
27132.0,,TOTAL HIP ARTHROPLASTY,6133.86,5907.48,,,,
27193.0,,TREAT PELVIC RING FX,1417.56,1359.02,,210.6,193.83,
27194.0,,TREAT PELVIC RING FX,2095.3,2013.65,,2074.56,1909.53,
27227.0,,TREAT HIP FX(S),5066.9,4879.61,,,,
27228.0,,TREAT HIP FX(S),5779.51,5567.94,,,,
27236.0,,TREAT THIGH FX,3627.64,3490.04,,,,
27245.0,,TREAT THIGH FX,3775.02,3630.86,,,,
27275.0,,MANIPULATE HIP JOINT,323.19,309.59,,2074.56,1909.53,
27403.0,,REPAIR KNEE CARTILAGE,3103.82,2978.06,,4301.4,3959.25,
27405.0,,REPAIR KNEE LIGAMENT,3282.44,3149.55,,6312.78,5810.61,
27420.0,,REVISE UNSTABLE KNEECAP,2261.71,2171.44,,6312.78,5810.61,
27422.0,,REVISE UNSTABLE KNEECAP,2252.47,2162.5,,6312.78,5810.61,
27424.0,,REVISION/REMOVE KNEECAP,2255.28,2165.35,,6312.78,5810.61,
27447.0,,TOTAL KNEE ARTHROPLASTY,4684.46,4509.75,,,,
27487.0,,REVISE/REPLACE KNEE JOINT,4295.95,4137.99,,,,
27500.0,,TREAT THIGH FX,2180.66,2087.12,,734.37,675.96,
27501.0,,TREAT THIGH FX,2131.34,2042.54,,210.6,193.83,
27502.0,,TREAT THIGH FX,3311.93,3184.79,,2779.53,2558.43,
27503.0,,TREAT THIGH FX,3407.62,3273.56,,210.6,193.83,
27506.0,,TREAT THIGH FX,5689.32,5472.85,,,,
27507.0,,TREAT THIGH FX,4156.52,3999.46,,,,
27508.0,,TREAT THIGH FX,2209.66,2113.32,,210.6,193.83,
27509.0,,TREAT THIGH FX,2744.11,2628.26,,3542.43,3260.64,
27510.0,,TREAT THIGH FX,2936.26,2821.17,,734.37,675.96,
27511.0,,TREAT THIGH FX,4295.44,4134.33,,,,
27513.0,,TREAT THIGH FX,5359.94,5162.29,,,,
27514.0,,TREAT THIGH FX,4219.76,4059.34,,,,
27520.0,,TREAT KNEECAP FX,1349.2,1284.12,,210.6,193.83,
27524.0,,TREAT KNEECAP FX,3198.15,3070.62,,,,
27530.0,,TREAT KNEE FX,1671.35,1593.3,,210.6,193.83,
27532.0,,TREAT KNEE FX,2604.2,2492.86,,2779.53,2558.43,
27535.0,,TREAT KNEE FX,3857.4,3711.25,,,,
27536.0,,TREAT KNEE FX,5066.57,4872.9,,,,
27538.0,,TREAT KNEE FX(S),1987.87,1897.12,,210.6,193.83,
27540.0,,TREAT KNEE FX,3478.82,3340.36,,,,
27570.0,,FIXATE KNEE JOINT,235.46,225.2,,2074.56,1909.53,
27685.0,,REVISE LOWER LEG TENDON,2767.45,2634.16,,4301.4,3959.25,
27686.0,,REVISE LOWER LEG TENDONS,2372.88,2276.62,,4301.4,3959.25,
27690.0,,REVISE LOWER LEG TENDON,2704.36,2595.44,,6312.78,5810.61,
27691.0,,REVISE LOWER LEG TENDON,3202.39,3073.42,,6312.78,5810.61,
27692.0,,REVISE ADDEDITIONAL LEG TENDON,461.41,445.92,,6312.78,5810.61,
27695.0,,REPAIR ANKLE LIGAMENT,1477.41,1416.9,,4301.4,3959.25,
27696.0,,REPAIR ANKLE LIGAMENTS,1723.72,1656.05,,4301.4,3959.25,
27698.0,,REPAIR ANKLE LIGAMENT,1965.63,1888.89,,4301.4,3959.25,
27750.0,,TREAT TIBIA FX,1446.76,1377.78,,210.6,193.83,
27752.0,,TREAT TIBIA FX,2273.94,2173.81,,2779.53,2558.43,
27758.0,,TREAT TIBIA FX,3785.47,3636.72,,6420.9,5910.15,
27759.0,,TREAT TIBIA FX,4257.79,4093.54,,8925.39,8215.41,
27760.0,,CLOSED TREAT MEDIAL ANKLE FX,999.35,951.28,,210.6,193.83,
27762.0,,CLOSED TREAT MED ANKLE FX W/MANIP,1452.26,1387.19,,2779.53,2558.43,
27766.0,,OPEN TREAT MEDIAL ANKLE FX,1856.02,1778.54,,6420.9,5910.15,
27786.0,,TREAT ANKLE FX,491.69,467.93,,210.6,193.83,
27788.0,,TREAT ANKLE FX,662.3,632.08,,210.6,193.83,
27792.0,,TREAT ANKLE FX,1121.8,1076.61,,6420.9,5910.15,
27808.0,,TREAT ANKLE FX,518.87,493.37,,210.6,193.83,
27810.0,,TREAT ANKLE FX,739.42,706.28,,210.6,193.83,
27814.0,,TREAT ANKLE FX,1223.81,1174.68,,6420.9,5910.15,
27816.0,,TREAT ANKLE FX,491.32,467.71,,210.6,193.83,
27818.0,,TREAT ANKLE FX,756.19,722.98,,734.37,675.96,
27822.0,,TREAT ANKLE FX,1342.67,1287.42,,6420.9,5910.15,
27823.0,,TREAT ANKLE FX,1523.63,1462.35,,8925.39,8215.41,
27824.0,,TREAT LOWER LEG FX,936.08,892.85,,210.6,193.83,
27825.0,,TREAT LOWER LEG FX,1653.18,1582.18,,2779.53,2558.43,
27826.0,,TREAT LOWER LEG FX,2537.97,2434.01,,6420.9,5910.15,
27827.0,,TREAT LOWER LEG FX,3313.36,3179.78,,8925.39,8215.41,
27828.0,,TREAT LOWER LEG FX,3955.96,3800.93,,8925.39,8215.41,
27829.0,,TREAT LOWER LEG JOINT,2062.48,1976.64,,6420.9,5910.15,
27840.0,,TREAT ANKLE DISLOCATION,1072.56,1028.51,,210.6,193.83,
27842.0,,TREAT ANKLE DISLOCATION,1488.26,1426.77,,2074.56,1909.53,
27846.0,,TREAT ANKLE DISLOCATION,2235.14,2146.41,,6420.9,5910.15,
27848.0,,TREAT ANKLE DISLOCATION,2511.52,2412.81,,6420.9,5910.15,
27860.0,,FIXATE ANKLE JOINT,276.66,265.27,,2074.56,1909.53,
28120.0,,PART REMOVE ANKLE/HEEL,1107.25,1057.06,,3014.25,2774.49,
28122.0,,PARTIAL REMOVE FOOT BONE,1028.92,981.54,,3014.25,2774.49,
28400.0,,TREAT HEEL FX,389.18,369.98,,210.6,193.83,
28405.0,,TREAT HEEL FX,613.23,585.9,,2779.53,2558.43,
28415.0,,TREAT HEEL FX,1782.79,1712.47,,8925.39,8215.41,
28420.0,,TREAT/GRAFT HEEL FX,2997.32,2880.42,,6420.9,5910.15,
28430.0,,TREAT ANKLE FX,563.23,535.64,,210.6,193.83,
28435.0,,TREAT ANKLE FX,827.86,789.27,,210.6,193.83,
28436.0,,TREAT ANKLE FX,1073.7,1025.26,,3542.43,3260.64,
28445.0,,TREAT ANKLE FX,2583.35,2483.99,,6420.9,5910.15,
28470.0,,TREAT METATARSAL FX,511.87,486.88,,210.6,193.83,
28475.0,,TREAT METATARSAL FX,622.83,594.36,,210.6,193.83,
28476.0,,TREAT METATARSAL FX,843.05,802.8,,3542.43,3260.64,
28485.0,,TREAT METATARSAL FX,1291.11,1237.46,,6420.9,5910.15,
28725.0,,FUSE FOOT BONES,1926.38,1852.85,,7371.54,6785.16,
28730.0,,FUSE FOOT BONES,2050.42,1969.71,,7371.54,6785.16,
28740.0,,FUSE FOOT BONES,2079.28,1981.86,,7371.54,6785.16,
28750.0,,FUSE BIG TOE JOINT,2027.14,1930.24,,7371.54,6785.16,
29065.0,,APPLY LONG ARM CAST,149.13,141.8,,194.19,178.74,X
29075.0,,APPLY FOREARM CAST,139.52,132.52,,187.17,172.29,X
29085.0,,APPLY HAND/WRIST CAST,147.51,140.22,,149.4,137.52,X
29086.0, ,APPLY FINGER CAST,117.72,111.61,,149.4,137.52,X
29105.0,,APPLY LONG ARM SPLINT,155.41,148.0,,149.4,137.52,X
29125.0,,APPLY FOREARM SPLINT,125.21,118.86,,147.42,135.69,X
29126.0,,APPLY FOREARM SPLINT,141.72,134.82,,149.4,137.52,X
29130.0,,APPLY FINGER SPLINT,72.44,69.28,,67.86,62.46,X
29131.0,,APPLY FINGER SPLINT,92.77,88.41,,97.11,89.37,X
29200.0,,STRAP CHEST,82.75,78.96,,94.77,87.21,X
29240.0,,STRAP SHOULDER,89.29,85.21,,101.79,93.69,X
29260.0, ,STRAP ELBOW OR WRIST,80.59,76.7,,100.62,92.61,X
29280.0,,STRAP HAND OR FINGER,78.61,74.72,,101.79,93.69,X
29345.0, ,APPLY LONG LEG CAST,212.03,202.15,,255.03,234.75,X
29355.0, ,APPLY LONG LEG CAST,219.66,209.65,,255.03,234.75,X
29365.0,,APPLY LONG LEG CAST,191.79,182.59,,240.99,221.82,X
29405.0,,APPLY SHORT LEG CAST,138.97,132.16,,178.98,164.73,X
29425.0,,APPLY SHORT LEG CAST,147.75,140.72,,181.32,166.89,X
29450.0, ,APPLY LEG CAST,226.46,217.1,,149.4,137.52,X
29505.0,,APPLY LONG LEG SPLINT,121.67,115.58,,149.4,137.52,X
29515.0,,APPLY LOWER LEG SPLINT,112.71,107.26,,141.54,130.29,X
29520.0, ,STRAP HIP,77.82,74.05,,97.11,89.37,X
29530.0,,STRAP KNEE,81.6,77.69,,100.62,92.61,X
29540.0,,STRAP ANKLE AND/OR FT,53.9,51.17,,72.54,66.78,X
29550.0,,STRAP TOES,44.24,41.67,,72.54,66.78,X
29580.0,,APPLY PASTE BOOT,82.79,78.81,,102.96,94.77,X
29581.0,,APPLY MULTILAY COMPRESS LWR LEG,152.3,143.77,,149.4,137.52,X
29590.0,,APPLY FOOT SPLINT,82.51,79.0,,83.04,76.44,X
29700.0,,REMOVE/REVISE CAST,103.41,98.21,,139.2,128.13,X
29705.0,,REMOVE/REVISE CAST,104.21,99.48,,119.34,109.86,X
29710.0,,REMOVE/REVISE CAST,190.34,181.78,,217.62,200.31,X
29740.0,,WEDGE CAST,141.31,135.19,,149.4,137.52,X
29800.0,,JAW ARTHROSCOPY/SURG,2870.02,2751.17,,3997.71,3679.71,
29804.0,,JAW ARTHROSCOPY/SURG,3578.52,3434.24,,3997.71,3679.71,
29805.0,,"SHOULDER ARTHROSCOPY, DIAG",2575.75,2467.98,,3997.71,3679.71,
29806.0, ,SHOULDER ARTHROSCOPY/SURG,5808.16,5582.08,,6462.39,5948.34,
29807.0,,SHOULDER ARTHROSCOPY/SURG,5671.51,5449.31,,6462.39,5948.34,
29819.0,,SHOULDER ARTHROSCOPY/SURG,3210.18,3078.79,,6462.39,5948.34,
29820.0, ,SHOULDER ARTHROSCOPY/SURG,2953.64,2833.12,,6462.39,5948.34,
29821.0, ,SHOULDER ARTHROSCOPY/SURG,3233.1,3101.41,,6462.39,5948.34,
29822.0,,SHOULDER ARTHROSCOPY/SURG,3144.95,3016.12,,3997.71,3679.71,
29823.0,,SHOULDER ARTHROSCOPY/SURG,3430.85,3290.8,,6462.39,5948.34,
29824.0, ,SHOULDER ARTHROSCOPY/SURG,3689.94,3539.41,,3997.71,3679.71,
29825.0,,SHOULDER ARTHROSCOPY/SURG,3202.11,3071.26,,6462.39,5948.34,
29826.0,,SHOULDER ARTHROSCOPY/SURG,3650.34,3504.39,,6462.39,5948.34,
29827.0,,ARTHROSCOPY ROTATOR CUFF REPAIR,4596.05,4418.87,,6462.39,5948.34,
29828.0,,ARTHROSCOPY BICEPS TENODESIS,3899.18,3748.17,,6462.39,5948.34,
29830.0,,ELBOW ARTHROSCOPY,1932.85,1852.7,,3997.71,3679.71,
29834.0,,ELBOW ARTHROSCOPY/SURG,2095.15,2008.15,,3997.71,3679.71,
29835.0,,ELBOW ARTHROSCOPY/SURG,2154.22,2065.19,,3997.71,3679.71,
29837.0,,ELBOW ARTHROSCOPY/SURG,2251.82,2159.47,,3997.71,3679.71,
29840.0,,WRIST ARTHROSCOPY,1918.73,1837.85,,3997.71,3679.71,
29844.0,,WRIST ARTHROSCOPY/SURG,2115.96,2027.77,,3997.71,3679.71,
29845.0,,WRIST ARTHROSCOPY/SURG,2440.18,2339.75,,3997.71,3679.71,
29846.0,,WRIST ARTHROSCOPY/SURG,2218.96,2126.68,,3997.71,3679.71,
29847.0,,WRIST ARTHROSCOPY/SURG,2310.86,2216.47,,6462.39,5948.34,
29848.0,,WRIST ENDOSCOPY/SURG,2159.31,2067.3,,3997.71,3679.71,
29850.0, ,KNEE ARTHROSCOPY/SURG,2540.3,2439.3,,3997.71,3679.71,
29855.0, ,TIBIAL ARTHROSCOPY/SURG,3347.13,3213.03,,6462.39,5948.34,
29860.0, ,"HIP ARTHROSCOPY, DIAG",2809.81,2697.02,,6462.39,5948.34,
29861.0, ,HIP ARTHROSCOPY/SURG,3088.61,2966.1,,6462.39,5948.34,
29862.0,,HIP ARTHROSCOPY/SURG,3469.37,3330.41,,6462.39,5948.34,
29863.0,,HIP ARTHROSCOPY/SURG,3458.24,3320.12,,6462.39,5948.34,
29870.0,,"KNEE ARTHROSCOPY, DIAG",2543.44,2416.34,,3997.71,3679.71,
29871.0,,KNEE ARTHROSCOPY/DRAIN,2182.27,2092.01,,3997.71,3679.71,
29873.0, ,KNEE ARTHROSCOPY/SURG,2221.06,2124.42,,3997.71,3679.71,
29874.0, ,KNEE ARTHROSCOPY/SURG,2291.42,2197.95,,3997.71,3679.71,
29875.0, ,KNEE ARTHROSCOPY/SURG,2712.06,2599.81,,3997.71,3679.71,
29876.0,,KNEE ARTHROSCOPY/SURG,3584.57,3439.85,,3997.71,3679.71,
29877.0, ,KNEE ARTHROSCOPY/SURG,3398.38,3259.86,,3997.71,3679.71,
29879.0, ,KNEE ARTHROSCOPY/SURG,2818.03,2704.52,,3997.71,3679.71,
29880.0,,KNEE ARTHROSCOPY/SURG,3774.79,3623.53,,3997.71,3679.71,
29881.0,,KNEE ARTHROSCOPY/SURG,3531.15,3388.2,,3997.71,3679.71,
29882.0,,KNEE ARTHROSCOPY/SURG,3812.37,3660.32,,3997.71,3679.71,
29883.0,,KNEE ARTHROSCOPY/SURG,3576.15,3435.01,,3997.71,3679.71,
29884.0, ,KNEE ARTHROSCOPY/SURG,2635.72,2528.41,,3997.71,3679.71,
29886.0, ,KNEE ARTHROSCOPY/SURG,2695.1,2585.53,,3997.71,3679.71,
29887.0,,KNEE ARTHROSCOPY/SURG,3168.57,3041.28,,3997.71,3679.71,
29888.0,,KNEE ARTHROSCOPY/SURG,4211.31,4048.82,,11871.09,10926.78,
29889.0,,KNEE ARTHROSCOPY/SURG,5187.05,4985.3,,11871.09,10926.78,
29891.0,,ANKLE ARTHROSCOPY/SURG,2944.29,2825.65,,6462.39,5948.34,
29894.0,,ANKLE ARTHROSCOPY/SURG,2194.01,2106.44,,3997.71,3679.71,
29895.0,,ANKLE ARTHROSCOPY/SURG,2096.49,2013.2,,3997.71,3679.71,
29897.0,,ANKLE ARTHROSCOPY/SURG,2198.99,2111.07,,3997.71,3679.71,
29898.0,,ANKLE ARTHROSCOPY/SURG,2437.92,2342.16,,3997.71,3679.71,
29899.0,,ANKLE ARTHROSCOPY/SURG,4454.29,4283.43,,6462.39,5948.34,
30100.0,,INTRANASAL BIOPSY,231.61,218.73,,357.99,329.52,
30130.0, ,EXCISE INFERIOR TURBINATE,616.48,585.09,,2313.03,2129.04,
30140.0, ,RESECT INFERIOR TURBINATE,714.07,676.41,,3421.41,3149.25,
30200.0,,INJECTION TREAT NOSE,185.69,175.48,,283.11,260.58,
30300.0,,REMOVE NASAL FOREIGN BODY,377.61,355.4,,89.55,82.44,X
30310.0,,REMOVE NASAL FOREIGN BODY,333.88,317.27,,2313.03,2129.04,
30520.0,,REPAIR NASAL SEPTUM,1533.94,1462.07,,3421.41,3149.25,
30802.0,,ABLATE INF TURBINATE SUBMUCOSAL,475.96,450.01,,2313.03,2129.04,
30901.0, ,CONTROL NOSEBLEED,154.98,147.82,,151.17,139.14,
30903.0,,CONTROL NOSEBLEED,323.03,305.9,,151.17,139.14,
30905.0,,CONTROL NOSEBLEED,400.32,379.29,,151.17,139.14,
30930.0, ,"THERAPEUTIC FX, NASAL INF TURB",199.28,189.73,,2313.03,2129.04,
31000.0, ,IRRIGATE MAXILLARY SINUS,295.86,279.4,,457.44,421.05,
31020.0,,EXPLORE MAXILLARY SINUS,793.3,748.88,,3421.41,3149.25,
31231.0,,"NASAL ENDOSCOPY, DIAG",316.52,298.37,,268.32,246.99,
31237.0,,"NASAL/SINUS ENDOSCOPY, SURG",533.18,505.96,,2927.49,2694.6,
31238.0,,"NASAL/SINUS ENDOSCOPY, SURG",547.19,519.83,,2927.49,2694.6,
31255.0,,REMOVE ETHMOID SINUS,1735.89,1673.26,,4128.33,3799.92,
31256.0,,EXPLORE MAXILLARY SINUS,1228.03,1181.96,,4128.33,3799.92,
